rowid,SiteName,Province_y,Ecoregion,Type,Latitude,Longitude,Year,Date,Phylum,Class,Order,Family,Genus,Species,Count,EPT_index,EPT_to_Total_Ratio,EPT_Class,SamplingDevice,StreamOrder,Velocity-Avg,Depth-Avg,General-Conductivity,Chl-a,General-DO,General-TempWater,General-Turbidity,General-pH,Nitrogen-TN,Phosphorus-TP,As,Se
10,Imogene,ON,Abitibi Plains,River,48.02527778,-85.90944444,2014,9/15/2014,Annelida,Clitellata,Lumbriculida,Lumbriculidae,Lumbriculus,Lumbriculus variegatus,30,0.0130,1.2987,Poor,Kick Net,3,0.17,67.5,121,,6.41,8.42,,7.4,,,,
11,Swallow,ON,Abitibi Plains,River,48.17541667,-86.88777778,2014,9/18/2014,Arthropoda,Insecta,Diptera,Ceratopogonidae,Probezzia,,119.23,0.3528,35.2750,Moderate,Kick Net,4,0.04,41,31,,58.1,9.37,,7.1,,,,
12,Swallow,ON,Abitibi Plains,River,48.17541667,-86.88777778,2014,9/18/2014,Arthropoda,Insecta,Diptera,Ceratopogonidae,Bezzia,,3.84,0.3528,35.2750,Moderate,Kick Net,4,0.04,41,31,,58.1,9.37,,7.1,,,,
13,Swallow,ON,Abitibi Plains,River,48.17541667,-86.88777778,2014,9/18/2014,Arthropoda,Insecta,Diptera,Ceratopogonidae,Mallochohelea,,11.53,0.3528,35.2750,Moderate,Kick Net,4,0.04,41,31,,58.1,9.37,,7.1,,,,
14,Swallow,ON,Abitibi Plains,River,48.17541667,-86.88777778,2014,9/18/2014,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,Stenonema,Stenonema femoratum,30.76,0.3528,35.2750,Moderate,Kick Net,4,0.04,41,31,,58.1,9.37,,7.1,,,,
15,Swallow,ON,Abitibi Plains,River,48.17541667,-86.88777778,2014,9/18/2014,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,Stenacron,,115.38,0.3528,35.2750,Moderate,Kick Net,4,0.04,41,31,,58.1,9.37,,7.1,,,,
16,Swallow,ON,Abitibi Plains,River,48.17541667,-86.88777778,2014,9/18/2014,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,Maccaffertium,,11.53,0.3528,35.2750,Moderate,Kick Net,4,0.04,41,31,,58.1,9.37,,7.1,,,,
17,Swallow,ON,Abitibi Plains,River,48.17541667,-86.88777778,2014,9/18/2014,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,,,38.46,0.3528,35.2750,Moderate,Kick Net,4,0.04,41,31,,58.1,9.37,,7.1,,,,
18,Swallow,ON,Abitibi Plains,River,48.17541667,-86.88777778,2014,9/18/2014,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,Eurylophella,,30.76,0.3528,35.2750,Moderate,Kick Net,4,0.04,41,31,,58.1,9.37,,7.1,,,,
19,Swallow,ON,Abitibi Plains,River,48.17541667,-86.88777778,2014,9/18/2014,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,Dentatella,Dentatella coxalis,3.84,0.3528,35.2750,Moderate,Kick Net,4,0.04,41,31,,58.1,9.37,,7.1,,,,
20,Swallow,ON,Abitibi Plains,River,48.17541667,-86.88777778,2014,9/18/2014,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,Habrophlebia,,3.84,0.3528,35.2750,Moderate,Kick Net,4,0.04,41,31,,58.1,9.37,,7.1,,,,
21,Swallow,ON,Abitibi Plains,River,48.17541667,-86.88777778,2014,9/18/2014,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,Paraleptophlebia,,3.84,0.3528,35.2750,Moderate,Kick Net,4,0.04,41,31,,58.1,9.37,,7.1,,,,
22,Swallow,ON,Abitibi Plains,River,48.17541667,-86.88777778,2014,9/18/2014,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,,,30.76,0.3528,35.2750,Moderate,Kick Net,4,0.04,41,31,,58.1,9.37,,7.1,,,,
23,Swallow,ON,Abitibi Plains,River,48.17541667,-86.88777778,2014,9/18/2014,Arthropoda,Insecta,Ephemeroptera,Caenidae,Caenis,,7.69,0.3528,35.2750,Moderate,Kick Net,4,0.04,41,31,,58.1,9.37,,7.1,,,,
24,Swallow,ON,Abitibi Plains,River,48.17541667,-86.88777778,2014,9/18/2014,Arthropoda,Insecta,Trichoptera,Helicopsychidae,Helicopsyche,,15.38,0.3528,35.2750,Moderate,Kick Net,4,0.04,41,31,,58.1,9.37,,7.1,,,,
25,Swallow,ON,Abitibi Plains,River,48.17541667,-86.88777778,2014,9/18/2014,Arthropoda,Insecta,Trichoptera,Hydroptilidae,Oxyethira,,7.69,0.3528,35.2750,Moderate,Kick Net,4,0.04,41,31,,58.1,9.37,,7.1,,,,
26,Swallow,ON,Abitibi Plains,River,48.17541667,-86.88777778,2014,9/18/2014,Arthropoda,Insecta,Trichoptera,Polycentropodidae,Polycentropus,,15.38,0.3528,35.2750,Moderate,Kick Net,4,0.04,41,31,,58.1,9.37,,7.1,,,,
27,Swallow,ON,Abitibi Plains,River,48.17541667,-86.88777778,2014,9/18/2014,Arthropoda,Insecta,Trichoptera,Leptoceridae,Oecetis,,34.61,0.3528,35.2750,Moderate,Kick Net,4,0.04,41,31,,58.1,9.37,,7.1,,,,
28,Swallow,ON,Abitibi Plains,River,48.17541667,-86.88777778,2014,9/18/2014,Arthropoda,Insecta,Trichoptera,Phryganeidae,Agrypnia,,3.84,0.3528,35.2750,Moderate,Kick Net,4,0.04,41,31,,58.1,9.37,,7.1,,,,
29,Swallow,ON,Abitibi Plains,River,48.17541667,-86.88777778,2014,9/18/2014,Arthropoda,Insecta,Trichoptera,Limnephilidae,Hydatophylax,,53.84,0.3528,35.2750,Moderate,Kick Net,4,0.04,41,31,,58.1,9.37,,7.1,,,,
30,Swallow,ON,Abitibi Plains,River,48.17541667,-86.88777778,2014,9/18/2014,Arthropoda,Insecta,Trichoptera,Lepidostomatidae,Lepidostoma,,7.69,0.3528,35.2750,Moderate,Kick Net,4,0.04,41,31,,58.1,9.37,,7.1,,,,
31,Swallow,ON,Abitibi Plains,River,48.17541667,-86.88777778,2014,9/18/2014,Arthropoda,Insecta,Trichoptera,Leptoceridae,Mystacides,,11.53,0.3528,35.2750,Moderate,Kick Net,4,0.04,41,31,,58.1,9.37,,7.1,,,,
32,Swallow,ON,Abitibi Plains,River,48.17541667,-86.88777778,2014,9/18/2014,Arthropoda,Insecta,Plecoptera,Taeniopterygidae,Taeniopteryx,,3.84,0.3528,35.2750,Moderate,Kick Net,4,0.04,41,31,,58.1,9.37,,7.1,,,,
33,Swallow,ON,Abitibi Plains,River,48.17541667,-86.88777778,2014,9/18/2014,Arthropoda,Insecta,Plecoptera,Capniidae,Paracapnia,,11.53,0.3528,35.2750,Moderate,Kick Net,4,0.04,41,31,,58.1,9.37,,7.1,,,,
34,Swallow,ON,Abitibi Plains,River,48.17541667,-86.88777778,2014,9/18/2014,Annelida,Clitellata,Lumbriculida,Lumbriculidae,Lumbriculus,Lumbriculus variegatus,30.76,0.3528,35.2750,Moderate,Kick Net,4,0.04,41,31,,58.1,9.37,,7.1,,,,
35,Swallow,ON,Abitibi Plains,River,48.17541667,-86.88777778,2014,9/18/2014,Arthropoda,Insecta,Coleoptera,Elmidae,Optioservus,,46.15,0.3528,35.2750,Moderate,Kick Net,4,0.04,41,31,,58.1,9.37,,7.1,,,,
36,Swallow,ON,Abitibi Plains,River,48.17541667,-86.88777778,2014,9/18/2014,Arthropoda,Insecta,Coleoptera,Dytiscidae,Neoporus,,3.84,0.3528,35.2750,Moderate,Kick Net,4,0.04,41,31,,58.1,9.37,,7.1,,,,
37,Swallow,ON,Abitibi Plains,River,48.17541667,-86.88777778,2014,9/18/2014,Mollusca,Bivalvia,Veneroida,Pisidiidae,Pisidium,,34.61,0.3528,35.2750,Moderate,Kick Net,4,0.04,41,31,,58.1,9.37,,7.1,,,,
38,Swallow,ON,Abitibi Plains,River,48.17541667,-86.88777778,2014,9/18/2014,Mollusca,Gastropoda,Basommatophora,Physidae,Physella,,11.53,0.3528,35.2750,Moderate,Kick Net,4,0.04,41,31,,58.1,9.37,,7.1,,,,
39,Swallow,ON,Abitibi Plains,River,48.17541667,-86.88777778,2014,9/18/2014,Mollusca,Gastropoda,Basommatophora,Planorbidae,Gyraulus,,80.76,0.3528,35.2750,Moderate,Kick Net,4,0.04,41,31,,58.1,9.37,,7.1,,,,
40,Swallow,ON,Abitibi Plains,River,48.17541667,-86.88777778,2014,9/18/2014,Arthropoda,Insecta,Odonata,Gomphidae,Dromogomphus,,3.84,0.3528,35.2750,Moderate,Kick Net,4,0.04,41,31,,58.1,9.37,,7.1,,,,
41,Swallow,ON,Abitibi Plains,River,48.17541667,-86.88777778,2014,9/18/2014,Arthropoda,Insecta,Odonata,Corduliidae,Neurocordulia,,11.53,0.3528,35.2750,Moderate,Kick Net,4,0.04,41,31,,58.1,9.37,,7.1,,,,
42,Swallow,ON,Abitibi Plains,River,48.17541667,-86.88777778,2014,9/18/2014,Arthropoda,Malacostraca,Amphipoda,Gammaridae,Gammarus,,15.38,0.3528,35.2750,Moderate,Kick Net,4,0.04,41,31,,58.1,9.37,,7.1,,,,
43,Swallow,ON,Abitibi Plains,River,48.17541667,-86.88777778,2014,9/18/2014,Arthropoda,Insecta,Diptera,Chironomidae,Dicrotendipes,,15.38,0.3528,35.2750,Moderate,Kick Net,4,0.04,41,31,,58.1,9.37,,7.1,,,,
44,Swallow,ON,Abitibi Plains,River,48.17541667,-86.88777778,2014,9/18/2014,Arthropoda,Insecta,Diptera,Chironomidae,Parakiefferiella,,26.92,0.3528,35.2750,Moderate,Kick Net,4,0.04,41,31,,58.1,9.37,,7.1,,,,
45,Swallow,ON,Abitibi Plains,River,48.17541667,-86.88777778,2014,9/18/2014,Arthropoda,Insecta,Diptera,Chironomidae,Tanytarsus,,153.84,0.3528,35.2750,Moderate,Kick Net,4,0.04,41,31,,58.1,9.37,,7.1,,,,
46,Swallow,ON,Abitibi Plains,River,48.17541667,-86.88777778,2014,9/18/2014,Arthropoda,Insecta,Diptera,Chironomidae,Polypedilum,,7.69,0.3528,35.2750,Moderate,Kick Net,4,0.04,41,31,,58.1,9.37,,7.1,,,,
47,Swallow,ON,Abitibi Plains,River,48.17541667,-86.88777778,2014,9/18/2014,Arthropoda,Insecta,Diptera,Chironomidae,Tribelos,,7.69,0.3528,35.2750,Moderate,Kick Net,4,0.04,41,31,,58.1,9.37,,7.1,,,,
48,Swallow,ON,Abitibi Plains,River,48.17541667,-86.88777778,2014,9/18/2014,Arthropoda,Insecta,Diptera,Chironomidae,Cladotanytarsus,,26.92,0.3528,35.2750,Moderate,Kick Net,4,0.04,41,31,,58.1,9.37,,7.1,,,,
49,Swallow,ON,Abitibi Plains,River,48.17541667,-86.88777778,2014,9/18/2014,Arthropoda,Insecta,Diptera,Chironomidae,Phaenopsectra,,26.92,0.3528,35.2750,Moderate,Kick Net,4,0.04,41,31,,58.1,9.37,,7.1,,,,
50,Swallow,ON,Abitibi Plains,River,48.17541667,-86.88777778,2014,9/18/2014,Arthropoda,Insecta,Diptera,Chironomidae,Microtendipes,,11.53,0.3528,35.2750,Moderate,Kick Net,4,0.04,41,31,,58.1,9.37,,7.1,,,,
51,Swallow,ON,Abitibi Plains,River,48.17541667,-86.88777778,2014,9/18/2014,Arthropoda,Insecta,Diptera,Chironomidae,Eukiefferiella,,3.84,0.3528,35.2750,Moderate,Kick Net,4,0.04,41,31,,58.1,9.37,,7.1,,,,
52,Swallow,ON,Abitibi Plains,River,48.17541667,-86.88777778,2014,9/18/2014,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,,19.23,0.3528,35.2750,Moderate,Kick Net,4,0.04,41,31,,58.1,9.37,,7.1,,,,
53,Swallow,ON,Abitibi Plains,River,48.17541667,-86.88777778,2014,9/18/2014,Arthropoda,Insecta,Diptera,Chironomidae,Pseudochironomus,,26.92,0.3528,35.2750,Moderate,Kick Net,4,0.04,41,31,,58.1,9.37,,7.1,,,,
54,Swallow,ON,Abitibi Plains,River,48.17541667,-86.88777778,2014,9/18/2014,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,,26.92,0.3528,35.2750,Moderate,Kick Net,4,0.04,41,31,,58.1,9.37,,7.1,,,,
55,Swallow,ON,Abitibi Plains,River,48.17541667,-86.88777778,2014,9/18/2014,Arthropoda,Insecta,Diptera,Chironomidae,Paratanytarsus,,11.53,0.3528,35.2750,Moderate,Kick Net,4,0.04,41,31,,58.1,9.37,,7.1,,,,
56,Swallow,ON,Abitibi Plains,River,48.17541667,-86.88777778,2014,9/18/2014,Arthropoda,Insecta,Diptera,Chironomidae,Telopelopia,,42.3,0.3528,35.2750,Moderate,Kick Net,4,0.04,41,31,,58.1,9.37,,7.1,,,,
57,Swallow,ON,Abitibi Plains,River,48.17541667,-86.88777778,2014,9/18/2014,Arthropoda,Insecta,Diptera,Chironomidae,Stictochironomus,,3.84,0.3528,35.2750,Moderate,Kick Net,4,0.04,41,31,,58.1,9.37,,7.1,,,,
58,Swallow,ON,Abitibi Plains,River,48.17541667,-86.88777778,2014,9/18/2014,Arthropoda,Insecta,Diptera,Chironomidae,Cricotopus,Cricotopus bicinctus,11.53,0.3528,35.2750,Moderate,Kick Net,4,0.04,41,31,,58.1,9.37,,7.1,,,,
59,Swallow,ON,Abitibi Plains,River,48.17541667,-86.88777778,2014,9/18/2014,Arthropoda,Insecta,Diptera,Chironomidae,Ablabesmyia,,3.84,0.3528,35.2750,Moderate,Kick Net,4,0.04,41,31,,58.1,9.37,,7.1,,,,
60,Swallow,ON,Abitibi Plains,River,48.17541667,-86.88777778,2014,9/18/2014,Arthropoda,Insecta,Diptera,Chironomidae,Thienemanniella,,3.84,0.3528,35.2750,Moderate,Kick Net,4,0.04,41,31,,58.1,9.37,,7.1,,,,
61,Swallow,ON,Abitibi Plains,River,48.17541667,-86.88777778,2014,9/18/2014,Arthropoda,Insecta,Diptera,Chironomidae,Pagastiella,,3.84,0.3528,35.2750,Moderate,Kick Net,4,0.04,41,31,,58.1,9.37,,7.1,,,,
62,Swallow,ON,Abitibi Plains,River,48.17541667,-86.88777778,2014,9/18/2014,Arthropoda,Insecta,Diptera,Chironomidae,,,3.84,0.3528,35.2750,Moderate,Kick Net,4,0.04,41,31,,58.1,9.37,,7.1,,,,
63,Tagouche,ON,Abitibi Plains,River,48.05972222,-85.96222222,2014,9/17/2014,Arthropoda,Insecta,Diptera,Ceratopogonidae,Bezzia,,5,0.1376,13.7615,Poor,Kick Net,4,0.1,27.8,67,,6.51,9.76,,7.05,,,,
64,Tagouche,ON,Abitibi Plains,River,48.05972222,-85.96222222,2014,9/17/2014,Arthropoda,Insecta,Diptera,Ceratopogonidae,Probezzia,,15,0.1376,13.7615,Poor,Kick Net,4,0.1,27.8,67,,6.51,9.76,,7.05,,,,
65,Tagouche,ON,Abitibi Plains,River,48.05972222,-85.96222222,2014,9/17/2014,Arthropoda,Insecta,Diptera,Tipulidae,Dicranota,,5,0.1376,13.7615,Poor,Kick Net,4,0.1,27.8,67,,6.51,9.76,,7.05,,,,
66,Tagouche,ON,Abitibi Plains,River,48.05972222,-85.96222222,2014,9/17/2014,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,,5,0.1376,13.7615,Poor,Kick Net,4,0.1,27.8,67,,6.51,9.76,,7.05,,,,
67,Tagouche,ON,Abitibi Plains,River,48.05972222,-85.96222222,2014,9/17/2014,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,Eurylophella,,30,0.1376,13.7615,Poor,Kick Net,4,0.1,27.8,67,,6.51,9.76,,7.05,,,,
68,Tagouche,ON,Abitibi Plains,River,48.05972222,-85.96222222,2014,9/17/2014,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,Paraleptophlebia,,40,0.1376,13.7615,Poor,Kick Net,4,0.1,27.8,67,,6.51,9.76,,7.05,,,,
69,Tagouche,ON,Abitibi Plains,River,48.05972222,-85.96222222,2014,9/17/2014,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,,,20,0.1376,13.7615,Poor,Kick Net,4,0.1,27.8,67,,6.51,9.76,,7.05,,,,
70,Tagouche,ON,Abitibi Plains,River,48.05972222,-85.96222222,2014,9/17/2014,Arthropoda,Insecta,Ephemeroptera,Baetidae,Baetis,,10,0.1376,13.7615,Poor,Kick Net,4,0.1,27.8,67,,6.51,9.76,,7.05,,,,
71,Tagouche,ON,Abitibi Plains,River,48.05972222,-85.96222222,2014,9/17/2014,Arthropoda,Insecta,Trichoptera,Limnephilidae,Hydatophylax,,10,0.1376,13.7615,Poor,Kick Net,4,0.1,27.8,67,,6.51,9.76,,7.05,,,,
72,Tagouche,ON,Abitibi Plains,River,48.05972222,-85.96222222,2014,9/17/2014,Arthropoda,Insecta,Trichoptera,Phryganeidae,Agrypnia,,5,0.1376,13.7615,Poor,Kick Net,4,0.1,27.8,67,,6.51,9.76,,7.05,,,,
73,Tagouche,ON,Abitibi Plains,River,48.05972222,-85.96222222,2014,9/17/2014,Arthropoda,Insecta,Trichoptera,Helicopsychidae,Helicopsyche,,5,0.1376,13.7615,Poor,Kick Net,4,0.1,27.8,67,,6.51,9.76,,7.05,,,,
74,Tagouche,ON,Abitibi Plains,River,48.05972222,-85.96222222,2014,9/17/2014,Arthropoda,Insecta,Trichoptera,Polycentropodidae,Cyrnellus,,5,0.1376,13.7615,Poor,Kick Net,4,0.1,27.8,67,,6.51,9.76,,7.05,,,,
75,Tagouche,ON,Abitibi Plains,River,48.05972222,-85.96222222,2014,9/17/2014,Arthropoda,Insecta,Trichoptera,Polycentropodidae,Polycentropus,,5,0.1376,13.7615,Poor,Kick Net,4,0.1,27.8,67,,6.51,9.76,,7.05,,,,
76,Tagouche,ON,Abitibi Plains,River,48.05972222,-85.96222222,2014,9/17/2014,Arthropoda,Insecta,Trichoptera,Lepidostomatidae,Lepidostoma,,40,0.1376,13.7615,Poor,Kick Net,4,0.1,27.8,67,,6.51,9.76,,7.05,,,,
77,Tagouche,ON,Abitibi Plains,River,48.05972222,-85.96222222,2014,9/17/2014,Arthropoda,Insecta,Trichoptera,Leptoceridae,Oecetis,,10,0.1376,13.7615,Poor,Kick Net,4,0.1,27.8,67,,6.51,9.76,,7.05,,,,
78,Tagouche,ON,Abitibi Plains,River,48.05972222,-85.96222222,2014,9/17/2014,Arthropoda,Insecta,Trichoptera,Leptoceridae,Ceraclea,,20,0.1376,13.7615,Poor,Kick Net,4,0.1,27.8,67,,6.51,9.76,,7.05,,,,
79,Tagouche,ON,Abitibi Plains,River,48.05972222,-85.96222222,2014,9/17/2014,Mollusca,Gastropoda,Basommatophora,Planorbidae,Gyraulus,,5,0.1376,13.7615,Poor,Kick Net,4,0.1,27.8,67,,6.51,9.76,,7.05,,,,
80,Tagouche,ON,Abitibi Plains,River,48.05972222,-85.96222222,2014,9/17/2014,Mollusca,Bivalvia,Veneroida,Pisidiidae,Pisidium,,5,0.1376,13.7615,Poor,Kick Net,4,0.1,27.8,67,,6.51,9.76,,7.05,,,,
81,Tagouche,ON,Abitibi Plains,River,48.05972222,-85.96222222,2014,9/17/2014,Mollusca,Gastropoda,Basommatophora,Physidae,Physella,,5,0.1376,13.7615,Poor,Kick Net,4,0.1,27.8,67,,6.51,9.76,,7.05,,,,
82,Tagouche,ON,Abitibi Plains,River,48.05972222,-85.96222222,2014,9/17/2014,Arthropoda,Insecta,Plecoptera,Capniidae,Paracapnia,,5,0.1376,13.7615,Poor,Kick Net,4,0.1,27.8,67,,6.51,9.76,,7.05,,,,
83,Tagouche,ON,Abitibi Plains,River,48.05972222,-85.96222222,2014,9/17/2014,Arthropoda,Insecta,Coleoptera,Elmidae,Dubiraphia,,5,0.1376,13.7615,Poor,Kick Net,4,0.1,27.8,67,,6.51,9.76,,7.05,,,,
84,Tagouche,ON,Abitibi Plains,River,48.05972222,-85.96222222,2014,9/17/2014,Arthropoda,Insecta,Coleoptera,Elmidae,Optioservus,,5,0.1376,13.7615,Poor,Kick Net,4,0.1,27.8,67,,6.51,9.76,,7.05,,,,
85,Tagouche,ON,Abitibi Plains,River,48.05972222,-85.96222222,2014,9/17/2014,Annelida,Clitellata,Tubificida,Naididae,Nais,Nais behningi,30,0.1376,13.7615,Poor,Kick Net,4,0.1,27.8,67,,6.51,9.76,,7.05,,,,
86,Tagouche,ON,Abitibi Plains,River,48.05972222,-85.96222222,2014,9/17/2014,Annelida,Clitellata,Tubificida,Naididae,Nais,Nais simplex,5,0.1376,13.7615,Poor,Kick Net,4,0.1,27.8,67,,6.51,9.76,,7.05,,,,
87,Tagouche,ON,Abitibi Plains,River,48.05972222,-85.96222222,2014,9/17/2014,Arthropoda,Insecta,Diptera,Chironomidae,Tvetenia,,50,0.1376,13.7615,Poor,Kick Net,4,0.1,27.8,67,,6.51,9.76,,7.05,,,,
88,Tagouche,ON,Abitibi Plains,River,48.05972222,-85.96222222,2014,9/17/2014,Arthropoda,Insecta,Diptera,Chironomidae,Pagastiella,,60,0.1376,13.7615,Poor,Kick Net,4,0.1,27.8,67,,6.51,9.76,,7.05,,,,
89,Tagouche,ON,Abitibi Plains,River,48.05972222,-85.96222222,2014,9/17/2014,Arthropoda,Insecta,Diptera,Chironomidae,Microtendipes,,160,0.1376,13.7615,Poor,Kick Net,4,0.1,27.8,67,,6.51,9.76,,7.05,,,,
90,Tagouche,ON,Abitibi Plains,River,48.05972222,-85.96222222,2014,9/17/2014,Arthropoda,Insecta,Diptera,Chironomidae,Stempellinella,,5,0.1376,13.7615,Poor,Kick Net,4,0.1,27.8,67,,6.51,9.76,,7.05,,,,
91,Tagouche,ON,Abitibi Plains,River,48.05972222,-85.96222222,2014,9/17/2014,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladius,,25,0.1376,13.7615,Poor,Kick Net,4,0.1,27.8,67,,6.51,9.76,,7.05,,,,
92,Tagouche,ON,Abitibi Plains,River,48.05972222,-85.96222222,2014,9/17/2014,Arthropoda,Insecta,Diptera,Chironomidae,Synorthocladius,,10,0.1376,13.7615,Poor,Kick Net,4,0.1,27.8,67,,6.51,9.76,,7.05,,,,
93,Tagouche,ON,Abitibi Plains,River,48.05972222,-85.96222222,2014,9/17/2014,Arthropoda,Insecta,Diptera,Chironomidae,Dicrotendipes,,15,0.1376,13.7615,Poor,Kick Net,4,0.1,27.8,67,,6.51,9.76,,7.05,,,,
94,Tagouche,ON,Abitibi Plains,River,48.05972222,-85.96222222,2014,9/17/2014,Arthropoda,Insecta,Diptera,Chironomidae,Cryptochironomus,,20,0.1376,13.7615,Poor,Kick Net,4,0.1,27.8,67,,6.51,9.76,,7.05,,,,
95,Tagouche,ON,Abitibi Plains,River,48.05972222,-85.96222222,2014,9/17/2014,Arthropoda,Insecta,Diptera,Chironomidae,Stictochironomus,,10,0.1376,13.7615,Poor,Kick Net,4,0.1,27.8,67,,6.51,9.76,,7.05,,,,
126,Swallow,ON,Abitibi Plains,River,48.17541945,-86.0841,2011,9/27/2011,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,,,6.66,0.3005,30.0545,Moderate,Kick Net,4,0.11,16.67,,,10.12,14.19,,7.69,0.215,0.0037,0.0003,0.00006
127,Swallow,ON,Abitibi Plains,River,48.17541945,-86.0841,2011,9/27/2011,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,Eurylophella,,20,0.3005,30.0545,Moderate,Kick Net,4,0.11,16.67,,,10.12,14.19,,7.69,0.215,0.0037,0.0003,0.00006
128,Swallow,ON,Abitibi Plains,River,48.17541945,-86.0841,2011,9/27/2011,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,,,86.66,0.3005,30.0545,Moderate,Kick Net,4,0.11,16.67,,,10.12,14.19,,7.69,0.215,0.0037,0.0003,0.00006
129,Swallow,ON,Abitibi Plains,River,48.17541945,-86.0841,2011,9/27/2011,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,Heptagenia,,240,0.3005,30.0545,Moderate,Kick Net,4,0.11,16.67,,,10.12,14.19,,7.69,0.215,0.0037,0.0003,0.00006
130,Swallow,ON,Abitibi Plains,River,48.17541945,-86.0841,2011,9/27/2011,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,Maccaffertium,Maccaffertium luteum,20,0.3005,30.0545,Moderate,Kick Net,4,0.11,16.67,,,10.12,14.19,,7.69,0.215,0.0037,0.0003,0.00006
131,Swallow,ON,Abitibi Plains,River,48.17541945,-86.0841,2011,9/27/2011,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,Paraleptophlebia,,86.66,0.3005,30.0545,Moderate,Kick Net,4,0.11,16.67,,,10.12,14.19,,7.69,0.215,0.0037,0.0003,0.00006
